"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 13:29:28 EET 2024","Wed Jul 10 13:29:29 EET 2024","930","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Home","GoooBigTestCases.GoooBig_Home","IsLogoExistInHomeScreen","IsLogoExistInHomeScreen","This test attempts to verify the logo is displayed."
"passed","Wed Jul 10 13:28:24 EET 2024","Wed Jul 10 13:28:24 EET 2024","206","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Preparation","GoooBigTestCases.GoooBig_Preparation","redirectToLoginScreenAfterPrepareOrganization","redirectToLoginScreenAfterPrepareOrganization","This test attempts to redirect to Login Screen."
"passed","Thu Jul 11 09:46:42 EET 2024","Thu Jul 11 09:46:48 EET 2024","6150","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_branchesAndWarehousesTablet","GoooBigTestCasesForTablet.GoooBig_branchesAndWarehousesTablet","verifySelectWarehouse","verifySelectWarehouse","This test attempts to verify Select Warehouse."
"passed","Wed Jul 10 13:46:30 EET 2024","Wed Jul 10 13:46:46 EET 2024","16046","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_CashierServices","GoooBigTestCases.GoooBig_CashierServices","testcase6","testcase6",""
"passed","Thu Jul 11 09:46:07 EET 2024","Thu Jul 11 09:46:18 EET 2024","10538","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_LoginTablet","GoooBigTestCasesForTablet.GoooBig_LoginTablet","LoginToOrganizationUsingUserIdAndAnEmptyData","LoginToOrganizationUsingUserIdAndAnEmptyData","This test attempts to Login to organization using UserId and an Empty Data for password."
"passed","Wed Jul 10 13:31:38 EET 2024","Wed Jul 10 13:31:49 EET 2024","10960","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_UploadInvoiceForClient","GoooBigTestCases.GoooBig_UploadInvoiceForClient","verifyToSelectCategoryAndDepartmentAndProduct","verifyToSelectCategoryAndDepartmentAndProduct","This test attempts to verify Select Category And Department And Product."
"passed","Wed Jul 10 13:28:42 EET 2024","Wed Jul 10 13:28:52 EET 2024","10161","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Login","GoooBigTestCases.GoooBig_Login","LoginToOrganizationUsingInvalidData","LoginToOrganizationUsingInvalidData","This test attempts to Login to organization using Invalid UserId, password."
"passed","Wed Jul 10 13:31:35 EET 2024","Wed Jul 10 13:31:38 EET 2024","2986","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_UploadInvoiceForClient","GoooBigTestCases.GoooBig_UploadInvoiceForClient","verifyToNavigateToCartWithoutProducts","verifyToNavigateToCartWithoutProducts","This test attempts to Navigate To Cart Without Products."
"passed","Wed Jul 10 13:26:41 EET 2024","Wed Jul 10 13:27:05 EET 2024","23647","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Preparation","GoooBigTestCases.GoooBig_Preparation","prepareOrganizationUsingAnEmptyData","prepareOrganizationUsingAnEmptyData","This test attempts to prepare organization using an Empty Data UserId and a password and OrganizeId."
"passed","Wed Jul 10 13:36:43 EET 2024","Wed Jul 10 13:37:41 EET 2024","57899","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Invoices","GoooBigTestCases.GoooBig_Invoices","A4TaxInvoiceWithDiscountOverProductLevel","A4TaxInvoiceWithDiscountOverProductLevel","This test attempts to A4 Tax Invoice with discount over Product level"
"passed","Thu Jul 11 09:49:29 EET 2024","Thu Jul 11 09:49:41 EET 2024","11725","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_UploadInvoiceForClientTablet","GoooBigTestCasesForTablet.GoooBig_UploadInvoiceForClientTablet","verifyToUpdateClients","verifyToUpdateClients","This test attempts to Update Clients from Update Screen."
"passed","Wed Jul 10 13:29:10 EET 2024","Wed Jul 10 13:29:19 EET 2024","9161","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_ShiftStart","GoooBigTestCases.GoooBig_ShiftStart","clickOnApplyWithoutEnterBoxFundStart","clickOnApplyWithoutEnterBoxFundStart","This test attempts to verify click on Apply without enter Box Fund Start."
"passed","Thu Jul 11 09:47:12 EET 2024","Thu Jul 11 09:47:19 EET 2024","7055","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","VerifyToAddClientWithPhoneOnly","VerifyToAddClientWithPhoneOnly","This test attempts to Verify Add Client With Phone Only."
"passed","Wed Jul 10 13:28:32 EET 2024","Wed Jul 10 13:28:42 EET 2024","10144","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Login","GoooBigTestCases.GoooBig_Login","LoginToOrganizationUsingUserIdAndAnEmptyData","LoginToOrganizationUsingUserIdAndAnEmptyData","This test attempts to Login to organization using UserId and an Empty Data for password."
"passed","Thu Jul 11 09:48:49 EET 2024","Thu Jul 11 09:48:52 EET 2024","3097","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_UploadInvoiceForClientTablet","GoooBigTestCasesForTablet.GoooBig_UploadInvoiceForClientTablet","verifyToNavigateToCartWithoutProducts","verifyToNavigateToCartWithoutProducts","This test attempts to Navigate To Cart Without Products."
"passed","Thu Jul 11 09:44:40 EET 2024","Thu Jul 11 09:45:01 EET 2024","21363","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_PreparationTablet","GoooBigTestCasesForTablet.GoooBig_PreparationTablet","prepareOrganizationUsingUserIdAndAnEmptyData","prepareOrganizationUsingUserIdAndAnEmptyData","This test attempts to prepare organization using UserId and an Empty Data for password and OrganizeId."
"passed","Wed Jul 10 13:46:19 EET 2024","Wed Jul 10 13:46:24 EET 2024","4836","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_CashierServices","GoooBigTestCases.GoooBig_CashierServices","testcase4","testcase4",""
